commit	elo	games_played	status	description
fcc3d0d	3321.3	18	keep	baseline: NNUE+IIR+eval_cache_2M (botbot fcc3d0df)
135f914	3361.6	41	keep	cont_hist 1-ply: +40 ELO vs baseline
